Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
A2_k141_6169753_length_8933_cov_4.9900_8,268,Pfam,PF01464,Transglycosylase SLT domain,135,235,3.7E-25,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A2_k141_6178891_length_16919_cov_5.4499_7,121,Pfam,PF08291,Peptidase M15,6,109,1.2E-16,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A2_k141_6894064_length_9086_cov_6.9705_6,112,Pfam,PF08291,Peptidase M15,19,99,9.6E-10,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A2_k141_6898532_length_24774_cov_13.9884_17,142,Pfam,PF01832,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,52,140,3.8E-09,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
A2_k141_6981544_length_65855_cov_19.9682_97,201,CDD,cd06583,PGRP,5,122,1.89256E-13,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
A2_k141_7114422_length_63839_cov_15.0002_56,143,Pfam,PF08291,Peptidase M15,21,121,0.00000056,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A3_k141_1807833_length_26044_cov_8.0000_7,118,Pfam,PF08291,Peptidase M15,4,104,1.6E-13,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A3_k141_3685594_length_30589_cov_10.0000_27,144,Pfam,PF08291,Peptidase M15,8,134,8.1E-12,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A3_k141_5312419_length_38983_cov_42.9762_32,2057,Pfam,PF01471,Putative peptidoglycan binding domain,141,191,8.2E-13,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
A3_k141_957101_length_60011_cov_21.9846_77,271,Pfam,PF01551,Peptidase family M23,132,218,0.000000027,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A4_k141_3592388_length_7314_cov_5.0000_7,230,Pfam,PF00959,Phage lysozyme,32,146,1.8E-09,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
A5_k141_3955978_length_6389_cov_5.0000_2,121,Pfam,PF08291,Peptidase M15,11,111,2.5E-19,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A5_k141_6222696_length_6469_cov_7.0000_11,665,Pfam,PF01551,Peptidase family M23,241,346,6.2E-12,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A6_k141_1584627_length_18001_cov_14.0000_6,246,Pfam,PF01551,Peptidase family M23,52,134,0.0000056,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A6_k141_2467636_length_7938_cov_18.0000_13,162,Pfam,PF00959,Phage lysozyme,31,153,8.5E-40,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
A6_k141_2617067_length_5340_cov_20.0000_6,155,Pfam,PF08291,Peptidase M15,30,110,0.0000086,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A6_k141_3358139_length_28200_cov_207.8377_10,247,Pfam,PF00877,NlpC/P60 family,111,224,0.000000002,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
A6_k141_532329_length_12729_cov_15.9738_20,120,Pfam,PF08291,Peptidase M15,28,107,5.7E-13,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A7_k141_808951_length_6946_cov_14.0000_2,313,Pfam,PF01551,Peptidase family M23,206,296,1.4E-24,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A8_k141_2357645_length_6894_cov_6.8054_2,199,Pfam,PF01464,Transglycosylase SLT domain,93,181,1.9E-09,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A8_k141_358099_length_7561_cov_5.6571_2,129,Pfam,PF00877,NlpC/P60 family,11,122,0.0000013,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
A8_k141_5283566_length_19047_cov_13.9883_19,121,Pfam,PF08291,Peptidase M15,6,103,5.6E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A9_k141_1299795_length_20105_cov_17.9813_4,203,CDD,cd06583,PGRP,13,136,1.86219E-12,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
A9_k141_1491905_length_21957_cov_22.0000_16,784,Pfam,PF01551,Peptidase family M23,363,465,5E-12,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A9_k141_161590_length_8236_cov_55.8031_2,176,Pfam,PF08291,Peptidase M15,74,163,2.3E-13,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A9_k141_279532_length_20539_cov_33.2091_17,140,Pfam,PF00959,Phage lysozyme,13,129,8.8E-10,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
A9_k141_3385058_length_11001_cov_7.0000_15,167,Pfam,PF01464,Transglycosylase SLT domain,45,144,2.5E-13,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A9_k141_369357_length_36400_cov_11.0000_5,154,Pfam,PF00877,NlpC/P60 family,16,122,0.0000069,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
A9_k141_4602259_length_9535_cov_16.2264_10,222,Pfam,PF01471,Putative peptidoglycan binding domain,164,216,8.7E-17,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
A9_k141_4848347_length_5401_cov_7.0000_6,154,Pfam,PF03330,Lytic transglycolase,29,125,2.6E-09,IPR009009,"RlpA-like protein, double-psi beta-barrel domain",-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A9_k141_5764777_length_6493_cov_8.0000_2,225,Pfam,PF05838,Glycosyl hydrolase 108,10,93,5.8E-10,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
A9_k141_6066419_length_5606_cov_37.6302_4,124,Pfam,PF08291,Peptidase M15,7,111,1.3E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A9_k141_7107919_length_7534_cov_10.1459_2,301,Pfam,PF01551,Peptidase family M23,174,282,8.7E-23,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A9_k141_742679_length_11434_cov_11.9250_7,927,Pfam,PF01551,Peptidase family M23,642,745,1.1E-11,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A9_k141_906023_length_10807_cov_22.9092_10,283,Pfam,PF01551,Peptidase family M23,174,264,1.1E-21,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
E29_k141_1659383_length_6076_cov_6.8871_5,233,Pfam,PF08291,Peptidase M15,6,118,4.1E-19,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E29_k141_1698483_length_42921_cov_10.0000_58,354,CDD,cd00118,LysM,308,353,3.46406E-08,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
E29_k141_2018674_length_24909_cov_8.0000_25,1083,Pfam,PF00959,Phage lysozyme,57,173,1.3E-10,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
E29_k141_209820_length_5926_cov_7.9959_16,218,Pfam,PF01551,Peptidase family M23,92,203,4.2E-18,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
E29_k141_228514_length_12127_cov_8.0941_8,184,Pfam,PF08291,Peptidase M15,48,151,8.5E-12,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E29_k141_2374932_length_51325_cov_8.0000_55,185,CDD,cd06583,PGRP,3,126,1.09071E-13,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
E29_k141_2821026_length_8167_cov_6.6954_10,229,Pfam,PF07486,Cell Wall Hydrolase,108,222,4.9E-19,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
E29_k141_501897_length_9585_cov_19.7853_2,819,Pfam,PF00877,NlpC/P60 family,472,579,2.3E-10,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
E29_k141_803823_length_34170_cov_11.0000_27,120,Pfam,PF08291,Peptidase M15,4,110,3E-17,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E29_k141_920246_length_34670_cov_44.9720_23,2770,Pfam,PF01464,Transglycosylase SLT domain,24,126,5.6E-27,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
E44_k141_1172083_length_44439_cov_11.0000_46,130,Pfam,PF08291,Peptidase M15,23,118,2.1E-10,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E44_k141_1226681_length_14359_cov_6.9814_9,185,Pfam,PF08291,Peptidase M15,40,152,4.6E-14,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E44_k141_1451423_length_12051_cov_8.0000_30,151,Pfam,PF07486,Cell Wall Hydrolase,36,149,1.6E-14,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
E44_k141_1544565_length_7369_cov_7.0000_6,138,Pfam,PF08291,Peptidase M15,18,124,0.00000024,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
E44_k141_1800148_length_7423_cov_10.2839_8,201,Pfam,PF11860,N-acetylmuramidase,26,197,7.4E-51,IPR024408,N-acetylmuramidase,-,-
E44_k141_566471_length_133436_cov_27.0000_5,233,Pfam,PF01464,Transglycosylase SLT domain,64,171,2.5E-18,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
E44_k141_681521_length_6539_cov_5.0000_5,217,Pfam,PF05838,Glycosyl hydrolase 108,31,112,0.0000026,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
ENP_18.1_k119_8539_length_12256_cov_7.8437_9,154,Pfam,PF08291,Peptidase M15,24,108,2.3E-16,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
